>eeprom dump
0,0,51,33
1,1,52,34
2,2,49,31
3,3,48,30
4,4,48,30
5,5,52,34
6,6,49,31
7,7,57,39
8,8,10,A
9,9,0,0
10,A,0,0
11,B,0,0
12,C,0,0
13,D,0,0
14,E,0,0
15,F,0,0
16,10,79,4F
17,11,78,4E
18,12,69,45
19,13,84,54
20,14,10,A
21,15,0,0
22,16,0,0
23,17,0,0
24,18,0,0
25,19,0,0
26,1A,0,0
27,1B,0,0
28,1C,0,0
29,1D,0,0
30,1E,0,0
31,1F,0,0
32,20,49,31
33,21,48,30
34,22,53,35
35,23,48,30
36,24,49,31
37,25,48,30
38,26,48,30
39,27,49,31
40,28,55,37
41,29,50,32
42,2A,10,A
43,2B,0,0
44,2C,0,0
45,2D,0,0
46,2E,0,0
47,2F,0,0
48,30,49,31
49,31,10,A
50,32,0,0
51,33,0,0
52,34,0,0
53,35,0,0
54,36,0,0
55,37,0,0
56,38,0,0
57,39,0,0
58,3A,0,0
59,3B,0,0
60,3C,0,0
61,3D,0,0
62,3E,0,0
63,3F,0,0
64,40,50,32
65,41,48,30
66,42,50,32
67,43,48,30
68,44,45,2D
69,45,48,30
70,46,51,33
71,47,45,2D
72,48,48,30
73,49,53,35
74,4A,10,A
75,4B,0,0
76,4C,0,0
77,4D,0,0
78,4E,0,0
79,4F,0,0
256,100,3,3
257,101,0,0
258,102,0,0
259,103,0,0
260,104,60,3C
4096,1000,60,3C
4097,1001,69,45
4098,1002,69,45
4099,1003,80,50
4100,1004,82,52
4101,1005,79,4F
4102,1006,77,4D
4103,1007,95,5F
4104,1008,78,4E
4105,1009,69,45
4106,100A,87,57
4107,100B,73,49
4108,100C,78,4E
4109,100D,80,50
4110,100E,62,3E
4111,100F,16,10
4112,1010,16,10
4113,1011,0,0
4114,1012,16,10
4115,1013,0,0
4116,1014,0,0
4117,1015,0,0
4118,1016,1,1
4119,1017,0,0
4120,1018,0,0
4121,1019,0,0
4122,101A,0,0
4123,101B,0,0
4124,101C,0,0
4125,101D,0,0
4126,101E,0,0
4127,101F,0,0
4128,1020,0,0
4129,1021,0,0
4130,1022,0,0
4131,1023,0,0
4132,1024,0,0
4133,1025,0,0
4134,1026,0,0
4135,1027,0,0
4136,1028,0,0
4137,1029,0,0
4138,102A,0,0
4139,102B,0,0
4140,102C,0,0
4141,102D,0,0
4142,102E,0,0
4143,102F,0,0
4144,1030,0,0
4145,1031,0,0
4146,1032,0,0
4147,1033,0,0
4148,1034,0,0
4149,1035,0,0
4150,1036,0,0
4151,1037,0,0
4152,1038,0,0
4153,1039,0,0
4154,103A,0,0
4155,103B,0,0
4156,103C,0,0
4157,103D,0,0
4158,103E,4,4
4159,103F,163,A3
4160,1040,0,0
4161,1041,1,1
4162,1042,0,0
4163,1043,0,0
4164,1044,80,50
4165,1045,68,44
4166,1046,46,2E
4167,1047,80,50
4168,1048,65,41
4169,1049,82,52
4170,104A,0,0
4171,104B,1,1
4172,104C,0,0
4173,104D,0,0
4174,104E,0,0
4175,104F,0,0
4176,1050,68,44
4177,1051,88,58
4178,1052,70,46
4179,1053,73,49
4180,1054,85,55
4181,1055,80,50
4182,1056,43,2B
4183,1057,51,33
4184,1058,46,2E
4185,1059,80,50
4186,105A,65,41
4187,105B,82,52
4188,105C,0,0
4189,105D,0,0
4190,105E,0,0
4191,105F,0,0
4192,1060,0,0
4193,1061,0,0
4194,1062,0,0
4195,1063,0,0
4196,1064,0,0
4197,1065,0,0
4198,1066,0,0
4199,1067,0,0
4200,1068,0,0
4201,1069,0,0
4202,106A,0,0
4203,106B,6,6
4204,106C,0,0
4205,106D,0,0
4206,106E,26,1A
4207,106F,45,2D
4208,1070,108,6C
4209,1071,119,77
4210,1072,122,7A
4211,1073,5,5
4212,1074,7,7
4213,1075,228,E4
4214,1076,3,3
4215,1077,5,5
